,ENT_LOC,ENT_LOC_U,ENT_MISC,ENT_MISC_U,ENT_ORG,ENT_ORG_U,ENT_PER,ENT_PER_U,POS_ADJ,POS_ADP,POS_ADV,POS_AUX,POS_CCONJ,POS_DET,POS_INTJ,POS_NOUN,POS_NUM,POS_PART,POS_PRON,POS_PROPN,POS_SCONJ,POS_SYM,POS_VERB,POS_X,adj_mod_nounc,nphrases,nphrases_length,objects_exc,objects_exc_u,objects_inc,objects_inc_u,stopwords,wordcount
1870_AndersenHC_LykkePeer.0,56.0,43.0,113,73,137.0,66.0,721,197,1618,2335,2458,1378,1187,1553,75,4271,104,166,2911,1087,284,1209,3494,624,843,1635,3969,721,520,211,127,11083,24754
1870_Anonym_KraemmersvendeOgSyjomfruerEllerPrincipalernesPengeskuffer.0,89.0,46.0,58,47,54.0,35.0,1427,193,3739,5794,8316,3885,2195,3841,485,8415,167,963,8401,1818,1332,3271,9239,1445,1680,3749,8930,1299,810,450,178,30054,63306
1870_Anonym_StokhusslavenSoerenVintyvEllerForbryderensFjolledeDatter.0,209.0,103.0,142,58,88.0,66.0,2416,325,6576,9938,10698,5546,3948,8382,475,15735,251,1375,13402,2967,2148,4124,14464,1845,3616,8058,19218,2227,1074,744,244,49158,101874
1870_Anonym_TestamentforfalskningenEllerBetlerskenFraChristianshavn_1.0,147.0,93.0,59,45,117.0,49.0,2225,251,5464,8984,9643,5751,3349,7087,482,14183,173,1373,12938,2713,1939,5535,14075,1388,2851,6814,16215,2039,1070,599,225,45381,95077
1870_Anonym_TestamentforfalskningenEllerBetlerskenFraChristianshavn_2.0,220.0,78.0,102,73,110.0,59.0,2420,362,5403,8640,10003,6342,3106,6982,351,13294,162,1459,13399,3077,2038,5597,14296,1897,2648,6601,15605,1863,964,576,195,45973,96046
1870_AT_DenVanvittigesBoernEllerSkurkenPaaNoerrebro.0,103.0,56.0,76,28,47.0,34.0,2230,205,4257,6376,8629,4243,2465,4676,1060,9792,166,937,11386,2712,1544,2637,12141,1356,2074,4599,11043,1411,750,534,170,35495,74377
1870_Brosboell_TranensVarsel.0,614.0,276.0,122,93,182.0,95.0,2758,518,6398,12271,12618,5614,4747,8318,351,18485,475,1681,17060,4421,2082,5913,19370,2053,3337,8407,19994,3171,1670,1029,385,57712,121857
1870_CS_PaaRov.0,156.0,81.0,78,54,31.0,24.0,1106,221,2936,5359,6627,4213,2134,3861,290,7222,166,774,9318,1488,1409,3110,8955,993,1318,3374,7963,1173,734,378,177,30063,58855
1870_Dodt_AegteOgUaegte.0,320.0,174.0,271,135,184.0,85.0,1698,326,7881,13687,15373,7012,5294,8418,605,17872,130,1535,17043,2479,3616,4662,17340,2784,3830,8060,19584,2824,1613,882,296,61904,125731
1870_Friis_MagnusHeinesen.0,194.0,88.0,114,68,77.0,44.0,1043,221,2328,4454,4676,2204,1629,2874,121,6265,113,348,5301,1597,1066,2044,5817,909,1292,2900,6920,1018,645,325,146,19472,41746
1870_Friis_MoedetPaaLaesoe.0,136.0,68.0,72,46,39.0,28.0,491,135,1849,3315,4101,1768,1400,2198,116,4866,112,426,4363,729,897,1486,4515,700,988,2120,5103,747,542,223,133,16053,32841
1870_GB_PolitispionenEllerHaelerhusetPaaKristianshavn.0,387.0,203.0,141,85,94.0,86.0,2073,447,6288,9878,10742,5054,3673,7441,503,16499,401,1472,11482,2903,1749,2305,15249,2127,3586,7383,18020,2517,1417,859,314,44914,97766
1870_Gerson_AfDetDagligeLiv.0,144.0,81.0,82,65,53.0,40.0,542,192,2672,4462,5580,2367,1934,3282,83,6332,101,577,5316,867,1019,733,5518,792,1366,2982,7173,923,627,317,164,21414,41635
1870_Gundersen_EnPolitimandsErindringer.0,749.0,316.0,227,122,166.0,94.0,1734,441,5778,10948,11031,6180,3861,7388,407,16610,508,1745,11960,3083,2795,3549,14325,1428,3101,7594,18017,2350,1347,722,266,49043,101596
1870_Juel_Hittebarnet.0,123.0,36.0,41,27,35.0,23.0,2466,254,5671,6925,8629,5203,3193,5100,467,10399,104,1311,12276,2841,1622,3699,12480,1325,2752,5415,13117,1505,644,720,178,40287,81245
1870_Korfitsen_EnSkibbruden.0,91.0,60.0,82,69,48.0,33.0,561,158,1503,2308,2932,1428,955,1669,218,3590,97,311,3186,977,528,2004,3362,545,873,1864,4600,528,425,191,117,11675,25613
1870_Laessoee_TilMaalet.0,281.0,135.0,96,80,71.0,31.0,1776,216,3945,6957,7312,2879,2495,4106,307,9209,107,662,7773,2258,1464,1692,8733,748,2074,4092,10036,1329,755,407,163,29603,60647
1870_Lange_AaenOgHavet.0,226.0,107.0,80,57,62.0,36.0,580,127,6162,9717,10210,3726,4435,7317,313,13289,121,1077,9902,988,1915,2096,10529,1103,3486,6767,16832,1589,868,623,192,41322,82900
1870_LevetzowV_ModersArv.0,60.0,39.0,14,14,19.0,11.0,407,81,2191,3064,4430,2109,1298,1933,212,4604,83,382,5268,505,862,1429,4888,461,1016,1874,4530,736,512,206,118,16940,33719
1870_Lie_DenFremsynteEllerBillederFraNordland.0,161.0,103.0,66,56,36.0,27.0,349,107,2391,4357,4219,1454,1460,2550,16,5801,126,368,3993,535,875,409,4221,477,1349,2491,6301,769,607,207,144,16373,33252
1870_LundOC_ZittaEllerDomkirkensDatter.0,510.0,252.0,217,132,140.0,97.0,1650,489,3923,6810,4471,1562,1975,4753,56,11710,237,375,3841,2719,776,1395,6705,1078,2526,5174,13053,1557,1054,459,215,20814,52386
1870_Schwartz_EnhverSinMission.0,98.0,58.0,110,72,68.0,36.0,2091,275,5858,9764,11446,5773,4655,6741,513,15040,147,1476,14809,2348,2418,6194,15910,1593,2833,6355,15126,2409,1252,697,241,50600,104685
1871_AndersenMS_Viggo.0,43.0,28.0,31,16,33.0,16.0,287,48,1316,2647,2579,1422,918,1549,77,3660,59,274,2884,342,665,529,2937,377,600,1441,3368,522,354,174,98,11194,22235
1871_Anonym_Alene.0,162.0,80.0,60,44,109.0,39.0,1405,229,3655,5075,5608,2741,2336,3651,166,7719,99,740,6251,1866,1023,1880,7101,552,1848,3704,9009,1110,668,386,158,24025,50463
1871_Barner_Armbaandet.0,106.0,48.0,73,38,36.0,23.0,916,112,2357,3445,3627,2147,1593,2946,84,5625,54,517,5062,1206,874,2037,5526,440,1267,2833,6779,878,533,296,141,18112,37540
1871_Behrend_Hulda.0,343.0,91.0,139,73,80.0,64.0,4925,448,7913,12383,16302,7627,5794,9305,1204,18612,368,1739,20686,6153,3078,3453,22814,3062,3936,9254,22100,2925,1218,970,259,67260,140493
1871_Behrend_Madelaine.0,167.0,71.0,81,63,107.0,56.0,2684,356,5781,8331,11564,5316,4077,6502,1180,14502,197,1054,15988,3563,1891,3007,17001,2123,2692,6711,15665,2354,941,799,221,48606,102077
1871_Bergsoee_ISabinerbjergene_1.0,378.0,225.0,250,183,225.0,113.0,1005,397,4035,6241,5622,2275,3004,4129,89,9502,162,544,5901,2194,1111,904,7398,1063,2178,4173,10524,1747,1229,532,267,25233,54174
1871_Bergsoee_ISabinerbjergene_2.0,605.0,280.0,372,275,253.0,153.0,1753,542,6220,10598,9701,4465,4693,6796,336,15060,321,984,12466,3690,2074,2931,13479,1733,3259,6869,16910,2596,1654,745,325,45596,95547
1871_Brandis_LysOgSkygge.0,45.0,37.0,39,30,42.0,23.0,752,111,2330,3382,3509,2049,1443,2258,120,4770,68,414,4118,888,765,960,4222,594,1134,2166,5264,685,480,173,92,15714,31890
1871_EwaldHF_DenSkotskeKvindePaaTjele_1.0,611.0,289.0,222,117,187.0,99.0,3356,629,6278,10006,9013,3920,5022,7232,122,16648,126,999,9340,5260,2123,3498,12688,2254,3603,7706,18542,2695,1578,731,274,40876,94529
1871_EwaldHF_DenSkotskeKvindePaaTjele_2.0,479.0,238.0,152,95,113.0,77.0,3038,476,5758,9859,8857,3828,5017,7142,141,16275,109,1104,10046,4431,2027,3452,13048,1641,3377,7460,17749,2545,1427,791,265,41450,92735
1871_Gioerup_Fraskilt.0,133.0,51.0,54,28,20.0,19.0,855,83,1410,2799,3099,2079,1118,2232,112,4401,41,469,4241,1082,815,1668,4618,388,681,2096,4742,655,365,150,75,14764,30572
1871_HeegaardS_Dobbeltgaengeren.0,2.0,2.0,6,5,,,227,26,958,1532,1746,849,814,1083,20,2243,9,207,1983,234,341,409,2179,168,481,1045,2471,355,252,86,65,7454,14775
1871_HeegaardS_EtHandelshuus.0,173.0,54.0,35,26,47.0,23.0,1456,140,3863,7213,10059,4929,3407,4632,234,9638,98,1002,13077,1800,2126,5064,12302,1668,2165,4804,11515,1515,833,388,171,41033,81112
1871_Juel_Zigeunerbarnet.0,52.0,24.0,22,20,12.0,10.0,1622,216,4283,4874,6154,4147,2334,3913,400,7481,105,748,9755,1891,1081,2901,8999,698,2055,3983,9821,1019,452,438,133,30227,59764
1871_L.F._Capercapitainen.0,2514.0,736.0,1616,318,476.0,330.0,2972,720,7591,14790,11454,7591,5088,9771,333,23392,830,1730,13928,6254,3192,6827,18812,2501,4412,10018,24086,4297,2106,984,311,59329,134084
1871_MauT_Deodata.0,44.0,27.0,39,14,46.0,18.0,1282,140,6294,6897,9586,5033,3899,6034,331,10933,67,1270,11694,1431,1782,3022,11202,863,3060,5655,14000,1545,696,512,127,41318,80338
1871_MeyerE_DeSammensvorneUnderFrederikDenSjette.0,366.0,197.0,150,94,129.0,98.0,1523,411,3910,6342,6705,3895,2857,4542,435,10361,305,757,8568,2287,1571,1600,9374,1976,1958,4596,11102,1809,1147,406,188,31419,65485
1871_MeyerE_EnHofhistorieIDanmark.0,437.0,194.0,207,119,169.0,118.0,2508,584,6833,10047,11595,7481,5244,8271,926,19264,363,1350,16875,3431,2411,1410,17105,2379,3276,8264,19351,3330,1782,798,253,57082,114985
1871_MeyerE_Lystaendersken.0,43.0,28.0,115,43,61.0,32.0,655,86,1914,3429,4453,2222,1166,2400,135,4972,56,411,4690,909,776,240,4614,422,1007,2320,5519,715,465,187,93,16703,32809
1871_MeyerE_Pariserhelvedet.0,206.0,100.0,87,67,74.0,58.0,1161,299,2558,3991,4099,2520,1775,3073,283,6595,175,497,5562,1702,901,718,5850,1051,1225,3122,7450,1162,814,279,146,20024,41350
1871_Suenssen_Aldrig.0,243.0,128.0,85,57,91.0,50.0,1474,255,6148,8323,9276,4710,4272,6758,405,15157,240,1302,13010,1962,1669,3189,13355,1500,3100,6745,16111,2637,1386,856,276,43856,91276
1871_Wolle_FraMinFoerstePraxis.0,141.0,83.0,141,91,106.0,64.0,617,171,7128,9932,10364,4532,4570,7044,389,13964,164,996,10570,1095,1691,2283,10860,2233,3765,6574,16703,2330,1513,571,226,42863,87815
1872_Anonym_SkurkensBedrifterOgHansEndeligt.0,98.0,50.0,73,52,44.0,33.0,1421,174,3776,5871,8339,4000,2211,3822,471,8490,174,925,8380,1804,1292,3167,9298,1348,1687,3776,8972,1309,815,447,173,30159,63368
1872_Gioerup_BjoernIBjoernegade.0,526.0,210.0,293,143,153.0,94.0,2310,333,4190,7112,7310,4691,2685,5149,329,11503,258,1087,8954,3334,1739,4763,10877,836,2166,5191,12325,1600,1000,539,228,34432,74817
1872_Gioerup_GadenOgHjemmetEllerTaterlivIKjoebenhavn.0,122.0,71.0,79,64,52.0,34.0,1283,242,2134,3546,3740,2439,1526,2525,256,5742,108,576,5068,1694,796,2540,5744,824,1068,2668,6299,877,590,238,131,18019,39258
1872_Gioerup_MarthaEllerEnBoutiksjomfruesHaendelser.0,197.0,69.0,45,28,41.0,31.0,1289,157,2569,4519,4716,3408,1759,3379,253,7477,181,951,6604,1725,1277,3144,7526,848,1326,3364,7896,1139,668,305,138,23654,50336
1872_HeegaardS_FamilienGorm.0,117.0,49.0,71,47,92.0,37.0,2232,184,6221,11009,13582,6684,5115,7263,192,14783,96,1643,17258,2601,3643,4672,16569,1799,3253,6883,16374,2278,1220,628,229,57728,113130
1872_Heilmann_EnSangerinde.0,155.0,90.0,117,81,120.0,32.0,979,183,3853,5386,4961,2615,2226,4182,118,8372,75,722,6056,1559,983,1810,6684,822,2245,4173,10424,1234,873,312,160,23973,50424
1872_LeFevre_DianaEllerHaabloesKjaerlighed.0,192.0,77.0,128,39,77.0,59.0,2208,312,4347,7546,7975,4268,2805,5285,293,11042,168,1047,10028,2906,2176,1314,11436,1288,2301,5405,12807,1670,813,606,209,36446,73924
1872_LieJ_TremasterenFremtidenEllerLivNordpaa.0,424.0,216.0,190,121,174.0,78.0,1418,259,3969,7536,7016,2695,2458,4231,49,10287,170,687,6074,2225,1313,1359,7624,1048,2217,4368,10735,1392,1029,396,195,27104,58741
1872_Mau_Solstraalen.0,29.0,19.0,15,10,37.0,5.0,732,76,2992,3887,5160,2795,2049,3065,164,5953,83,668,6574,841,992,2474,6325,707,1413,2858,6905,902,448,275,95,22822,44729
1872_Valdemar_KjaerlighedHaevnOgFrelse.0,307.0,139.0,173,105,125.0,58.0,2158,296,5023,9996,9042,6417,3255,8230,288,16286,203,1296,15337,2664,2750,5704,15337,1418,2778,7641,17717,2714,1262,837,242,50080,103246
1872_Valdemar_KjaerlighedHaevnOgFrelse.1,347.0,134.0,163,98,100.0,56.0,2397,265,4776,9831,9483,6762,3355,8059,421,16183,173,1343,15584,2801,2692,5688,15674,1310,2533,7313,16976,2654,1249,819,237,50901,104135
1873_AndersenT_SvendEstridsen.0,210.0,89.0,67,28,36.0,26.0,1223,216,1343,2522,3260,1566,1126,1676,137,4122,96,292,3812,1671,512,1912,4348,263,543,1795,4114,501,338,230,118,13028,28658
1873_Barner_SlottetChantily.0,486.0,188.0,215,118,257.0,92.0,3162,510,5498,8943,8644,5331,3594,7185,224,14744,293,1625,13071,4911,2364,1704,14557,1459,2839,7321,17453,2268,1158,705,241,46062,94147
1873_Behrend_NancyEllerEnNatINotreDameKirken_1.0,217.0,52.0,49,37,57.0,24.0,2560,251,4435,6791,9601,4550,3228,5517,817,10278,155,948,11860,3347,1540,2189,12876,1137,2094,5404,12680,1542,698,532,172,38414,79269
1873_Behrend_NancyEllerEnNatINotreDameKirken_2.0,301.0,80.0,77,45,52.0,27.0,4219,295,8727,13985,19455,9033,5935,10692,1445,20396,235,2249,24993,5275,3267,4071,25570,1684,4191,10367,24421,3029,1136,1002,212,78751,157012
1873_BruunC_FraEtHjoerneAfKirkegaarden.0,336.0,201.0,264,208,853.0,243.0,1534,443,6951,10259,11199,5262,4575,6564,357,14816,204,1469,14460,3432,2436,3742,15193,2924,3533,6848,17045,2400,1495,751,309,49962,103843
1873_Dodt_EmilLarsensHaendelser.0,151.0,92.0,64,45,40.0,22.0,677,124,3205,6140,6855,3447,2771,3760,213,8446,60,942,8115,916,1640,2469,8037,798,1575,3532,8445,1191,827,380,179,29236,57814
1873_EwaldHF_Agathe.0,338.0,128.0,132,87,92.0,39.0,2287,302,5760,8608,9754,4895,4217,6964,337,13482,107,1173,11585,3340,2364,2946,12561,1220,3046,6794,16240,2087,1261,623,229,43559,89313
1873_Johansen_JensSoerensensUngdomshistorie.0,394.0,184.0,183,100,43.0,30.0,1374,227,3742,6271,8384,3787,3148,3844,333,9757,244,819,8903,2033,1570,3159,9855,795,1798,3982,9525,1572,1042,548,265,32534,66644
1873_Krebs_ToFamiliersHistorie.0,123.0,74.0,103,75,93.0,61.0,1920,290,6037,9187,10292,5810,3653,7131,206,13404,119,1296,12043,2405,2339,3858,12337,1724,2986,6822,16120,1826,923,616,198,45995,91841
1873_MadsenH_GrevBarnyEllerDenFornemmeOgSimpleVerden.0,263.0,123.0,117,50,60.0,35.0,1602,257,4815,7342,8228,3866,3073,5983,492,13554,388,876,11036,2052,1801,3209,13175,899,2639,5891,14256,2295,1030,807,269,37211,80789
1873_MallingHA_GamleTider.0,425.0,171.0,329,152,97.0,53.0,940,315,3246,4749,5606,2823,1916,3627,163,7927,136,498,5079,2082,719,1878,6776,725,1788,3705,9068,1249,877,429,225,21775,47950
1873_Schoeyen_Kamilla.0,42.0,28.0,11,11,22.0,13.0,491,71,1451,2027,2359,1110,853,1747,129,3364,56,285,3038,597,364,1376,3356,270,713,1560,3800,467,365,125,75,10426,22382
1873_Soerensen_EnKvindeAfFolket.0,296.0,139.0,175,101,216.0,102.0,2037,315,6802,11009,12215,6767,3912,8589,820,18426,389,1675,13459,3036,2899,5863,15078,1657,3573,8216,19736,2444,1455,860,325,53817,112596
1873_Thorson_DeToVenner_1.0,571.0,141.0,158,68,175.0,106.0,2288,284,4262,9021,11555,6762,3549,4895,459,12973,527,1234,13659,3340,3183,3652,13570,1646,2034,5252,12091,2028,1025,840,259,47908,94287
1873_Thorson_DeToVenner_1.1,355.0,91.0,48,32,134.0,66.0,2613,290,4101,8427,12039,7484,3363,4407,753,11723,715,1183,14480,3608,3185,5320,13842,1692,1724,4857,11093,2001,918,713,211,48909,96322
1873_WintherC_DenFredloesesSoen_2.0,921.0,229.0,316,120,121.0,65.0,3445,449,6347,13808,12220,7231,4934,10237,356,22707,456,1916,18028,4709,3299,6704,20751,1703,3431,9770,22611,3518,1480,1145,301,62260,135406
1873_Wolle_BrudstykkerAfEnJydskBorgermandsDagboegerFor1848.0,186.0,97.0,212,119,82.0,62.0,650,134,2374,3205,3710,1483,1623,2036,361,5260,96,333,3010,1110,485,744,3579,1166,1208,2125,5347,1016,772,168,108,13674,30575
1873_Zahle_FraFolkelivet.0,605.0,298.0,318,115,142.0,101.0,1199,354,3330,6193,5599,2815,1954,3699,68,9423,275,781,5498,2338,1246,1081,7244,933,1870,4091,9844,1567,1118,379,201,24427,52477
1874_Albertius_BjergmandensRing_1.0,277.0,120.0,140,97,75.0,56.0,2342,325,8397,11805,13521,7439,5362,10352,734,20065,347,1685,17041,3067,3174,2866,19091,1358,4359,9520,23029,2922,1520,1113,330,62508,126304
1874_Albertius_BjergmandensRing_2.0,222.0,114.0,258,114,71.0,51.0,2044,249,8102,11830,13324,7340,5348,10332,551,19818,330,1796,17080,2529,3039,2372,19105,1177,4195,9449,22698,2757,1414,1035,317,62799,124073
1874_Barner_Jonskirken.0,823.0,374.0,892,257,454.0,240.0,5057,911,7040,12265,10946,6287,4929,8499,309,19738,512,1876,14338,8285,2933,3656,18045,4108,3679,9241,22039,3440,1939,1100,369,56004,123766
1874_Brandis_GamleJomfruTraegaardsErindringer.0,124.0,84.0,84,61,79.0,53.0,835,241,4457,6793,7881,3696,3004,4364,248,9220,146,975,8919,1152,1432,1825,8614,1241,2222,4249,10369,1415,904,311,181,32906,63967
1874_Budde_EnHistorieFraFattigeSteder.0,73.0,40.0,33,28,59.0,29.0,820,86,3685,5790,6854,2361,3563,3868,40,7905,64,794,6003,1027,1071,748,7730,670,2063,3751,9450,1004,625,436,157,26132,52173
1874_HeegaardP_UroligeTider.0,308.0,99.0,64,45,78.0,33.0,2679,260,6197,11561,13525,6549,5236,7963,400,16409,179,1568,18465,3447,3107,7199,18670,1905,3126,7655,17888,2481,1344,730,276,59529,122380
1874_HenningsenE_PalleHougaard.0,124.0,74.0,157,38,29.0,15.0,1195,159,2412,4302,5318,1954,1775,2403,379,6406,95,459,5206,1513,870,2295,6500,409,1208,2590,6236,888,550,419,191,19600,42296
1874_Incognito_VenusTempel.0,188.0,102.0,185,112,40.0,33.0,588,183,2140,3415,4265,1755,1391,2284,456,5285,186,448,4095,1072,651,2700,4486,768,1137,2334,5714,822,643,276,145,15830,35397
1874_Juel_Karen.0,45.0,29.0,10,10,41.0,21.0,458,144,2407,3180,4174,1863,1308,2313,206,4800,67,366,4476,628,544,698,4520,837,1232,2320,5671,695,471,278,128,16186,32387
1874_Karstens_GrevindeDanner_1.0,353.0,144.0,226,146,112.0,90.0,3550,508,9240,13923,17242,9577,6242,11116,1404,22852,681,2372,20340,4752,3584,9307,22274,2385,4605,10941,26241,3009,1540,1261,346,75109,157291
1874_LieJ_LodsenOgHansHustru.0,428.0,219.0,175,113,125.0,79.0,1006,216,4115,8175,8189,3223,2931,4374,166,10123,148,925,8830,1882,1605,3097,9505,1285,2119,4365,10666,1519,1053,460,217,32851,68573
1874_Lykke_Juanita.0,111.0,51.0,96,58,62.0,36.0,592,164,2159,3579,3369,1604,1081,2739,163,5609,195,412,4265,1083,471,1524,4542,459,1354,3104,7936,733,463,291,135,15418,33254
1874_Mau_EnFormynder.0,115.0,61.0,58,43,44.0,18.0,1521,236,6425,7352,9116,5659,3991,6225,243,11572,89,1137,12383,1792,1686,3881,11634,981,3597,6679,16877,1529,722,578,166,43045,84166
1874_Nordrup_KongValdemarOgTovelille.0,572.0,227.0,148,64,82.0,66.0,2945,382,7270,12416,14235,5553,5489,10059,669,19660,246,1813,17766,4076,2888,5440,19867,2063,3871,9760,23108,2862,1329,979,250,60657,129510
1874_Nordrup_KongValdemarOgTovelille.1,476.0,160.0,85,58,81.0,36.0,3487,371,6797,12595,15071,5577,5563,9784,465,18550,257,1761,19175,4562,3561,3986,19933,2267,3406,9295,21728,2676,1145,965,211,62910,129904
1874_SoerensenC_KongensYndling.0,799.0,243.0,319,133,204.0,126.0,3207,513,8575,15996,14536,8821,5553,12180,398,25299,349,2205,16701,5065,3799,6888,19655,3102,5489,13263,32446,3583,1858,1009,300,68481,149122
1874_SoerensenC_KongensYndling.1,1179.0,349.0,356,167,344.0,179.0,2753,626,8995,15434,13953,8635,5323,11618,381,26216,399,1964,15150,5138,3382,5903,19374,5049,5477,12892,31299,4099,2035,1247,290,64509,146914
1874_Vende_LeonieEllerEnNatIMinerne_1.0,158.0,89.0,193,61,53.0,36.0,2313,235,7327,11207,11992,6720,3836,9242,1008,18712,192,1555,17646,2689,1785,3417,19403,1293,3812,8772,21001,2603,1155,881,252,56646,118024
1875_Anonym_GuldsmedensDoettreEllerKjaerlighedTilDoeden.0,232.0,117.0,71,47,94.0,59.0,3015,418,4731,9316,9181,5943,3200,7089,265,15482,182,1441,14052,3897,2831,6487,16626,1504,2471,7138,16477,2365,1147,881,253,46056,102227
1875_Anonym_GuldsmedensDoettreEllerKjaerlighedTilDoeden.1,381.0,198.0,92,66,97.0,76.0,2493,376,4700,9779,9182,5909,3259,7357,260,16100,226,1485,13923,3464,2906,5791,16328,1722,2632,7334,16974,2534,1270,778,250,46726,102391
1875_Barner_ILandflygtighed.0,317.0,141.0,221,121,66.0,44.0,1760,405,3350,4607,3675,2159,1883,3774,97,8804,103,729,4695,2704,1092,1806,6752,1438,1768,4062,9694,1521,926,354,163,19229,47668
1875_Boegh_JonasTvaermosesAergrelser.0,350.0,205.0,396,243,105.0,77.0,1126,494,9546,14817,14494,8127,5324,10793,440,22362,743,2317,16876,1911,3236,4777,16928,991,5121,10379,25296,3243,2172,1159,460,68447,133682
1875_Brosboell_VibenPeter.0,514.0,237.0,109,77,90.0,62.0,2208,371,5163,10309,10259,4329,4441,6388,225,15621,360,1260,13737,3106,1453,4297,16392,1293,2562,6422,15334,2655,1343,923,315,47016,98633
1875_DahlK_EdaMansika.0,217.0,116.0,92,62,128.0,36.0,900,217,4191,6321,6540,2981,3052,4430,361,9687,169,677,7371,1533,1072,2280,8738,1314,2143,4312,10730,1652,1131,552,234,27844,60717
1875_Dodt_HolgerFriis.0,157.0,90.0,100,73,83.0,39.0,1108,205,4891,7775,8652,4483,3403,5282,347,11168,76,1207,9958,1587,2039,3534,10386,1403,2418,5018,12299,1703,1139,495,214,36816,76191
1875_EwaldHF_KnudGyldenstjerne_1.0,501.0,229.0,123,96,98.0,72.0,2571,575,5233,8977,8244,3835,4589,6921,183,14395,286,937,10249,3947,2193,2988,12249,2251,2900,7110,16781,2319,1373,694,228,39845,87477
1875_EwaldHF_KnudGyldenstjerne_2.0,587.0,215.0,131,80,118.0,80.0,3549,550,5306,10536,9972,4757,5366,7419,176,15714,442,1181,13387,5169,2602,4163,15462,2289,2744,7715,17799,2532,1275,840,237,47924,103941
1875_GoldschmidtR_EnKvindehistorie.0,50.0,25.0,21,19,22.0,19.0,662,76,1487,2452,3457,1536,1411,1318,226,3275,89,302,4205,767,666,1413,4025,258,613,1340,3171,472,320,184,99,13797,26887
1875_Hjelm_KoebenhavnskZigeunerliv.0,428.0,156.0,475,195,229.0,128.0,2811,485,10312,17805,17738,7932,7460,12814,674,27245,494,2057,22603,4329,2492,3944,22786,2329,5423,13007,31757,4018,1833,1293,326,80699,163014
1875_Karstens_GrevindeDanner_2.0,229.0,92.0,171,92,94.0,67.0,1838,299,4947,7904,9181,5716,3086,6424,1007,12827,321,1441,11759,2535,2189,6632,12376,1172,2402,6340,14933,1709,912,644,210,42512,89517
1875_Karstens_GrevindeDanner_2.1,323.0,100.0,205,101,117.0,81.0,1723,351,5129,8071,9059,5355,3326,6409,883,14084,322,1415,10520,2532,1608,6002,12405,1268,2589,6314,15120,1816,1074,633,222,40625,88388
1875_Kauffmann_Lindemark.0,105.0,56.0,90,81,75.0,29.0,1249,201,3129,5391,5263,1977,1877,3517,208,8380,104,492,5921,1790,655,3232,7557,744,1745,3481,8632,1330,875,308,151,21882,50237
1875_KofoedHansen_Livslaenker.0,381.0,166.0,214,131,67.0,44.0,566,216,6069,13114,14516,7329,5127,9513,269,18032,201,1696,19186,1275,2764,3194,17678,1824,3797,9412,22583,2589,1435,798,259,64128,121787
1875_Laertes_NogleMaanederIKoebenhavn.0,45.0,15.0,51,30,70.0,15.0,969,99,2679,4486,5362,2309,1793,2585,90,5198,113,717,5319,1206,1045,1112,5370,268,1264,2597,6245,607,412,254,114,22167,39652
1875_Lange_DeLyseNaetter.0,214.0,100.0,73,46,57.0,38.0,796,120,5584,8644,8760,2823,3908,6327,279,11658,127,897,8047,1148,1622,2012,8749,878,3122,5793,14530,1299,728,556,143,35134,71463
1875_Lassen_KongGormsSoennerEllerKorsOgSvaerd.0,512.0,193.0,267,108,111.0,67.0,2970,437,6171,9900,9841,5496,6011,7899,452,16308,150,1051,12899,3921,1931,3262,15150,1314,3435,8094,19602,2369,1214,1075,288,48917,101756
1875_Lassen_KongGormsSoennerEllerKorsOgSvaerd.1,418.0,173.0,208,88,193.0,86.0,2956,464,5574,9611,10213,5949,6054,6951,399,15623,133,1060,13413,3994,1904,3903,16211,1969,2993,7257,17317,2472,1159,963,249,49040,102961
1875_Scharling_MinHustruOgJeg.0,323.0,168.0,535,93,53.0,38.0,1104,204,4397,6944,9119,3820,3365,4294,259,10423,195,818,9658,1732,1574,3365,10008,1355,2690,4979,12302,1792,1095,515,230,34440,71326
1875_Schjoerring_HavetsDatter.0,183.0,89.0,66,54,127.0,45.0,822,202,3907,5480,7057,3526,2083,3996,283,7765,178,659,8095,1343,1282,2779,7630,1197,2192,4255,10767,967,671,404,180,28559,57260
1875_SoerensenC_IvarIvarson.0,308.0,82.0,83,57,94.0,66.0,1528,207,4708,8377,7679,4607,2651,6215,217,11762,156,1399,8824,2375,1886,2695,9760,1221,3063,6636,16433,1679,1018,494,178,36515,74532
1875_SoerensenC_KjaerlighedVedHoffet.0,522.0,180.0,215,109,108.0,82.0,1569,389,7787,15775,14469,8833,4745,12160,533,24548,312,2714,17260,2916,3670,7104,19599,2933,5185,12428,30320,3391,1662,1089,295,68158,145358
1875_SoerensenC_KjaerlighedVedHoffet.1,730.0,215.0,235,105,218.0,133.0,1784,369,8032,16015,15136,8709,4820,12039,338,23310,249,3009,16928,3501,3973,4603,18887,2869,5332,12563,30901,3070,1528,890,249,69573,142418
1875_SoerensenC_SkjaebnensVeie.0,499.0,142.0,123,62,160.0,89.0,2477,294,6442,12811,12471,6678,4405,9140,262,17660,186,2133,14424,4028,3073,3273,15558,1882,3389,8516,20159,2765,1409,809,257,55970,114426
1875_SoerensenC_SkjaebnensVeie.1,556.0,181.0,120,58,200.0,105.0,2574,318,6674,12468,11927,6845,4439,9336,268,18182,248,2191,13274,4448,2942,4046,15095,1916,3607,8959,21231,2744,1439,826,257,54096,114299
