,ENT_LOC,ENT_LOC_U,ENT_MISC,ENT_MISC_U,ENT_ORG,ENT_ORG_U,ENT_PER,ENT_PER_U,POS_ADJ,POS_ADP,POS_ADV,POS_AUX,POS_CCONJ,POS_DET,POS_INTJ,POS_NOUN,POS_NUM,POS_PART,POS_PRON,POS_PROPN,POS_SCONJ,POS_SYM,POS_VERB,POS_X,adj_mod_nounc,nphrases,nphrases_length,objects_exc,objects_exc_u,objects_inc,objects_inc_u,stopwords,wordcount
1898_Gnudtzmann_Gadespejlet.0,59.0,34.0,47,36,20.0,16.0,803,92,3075,5288,6095,2782,2336,3159,293,7556,117,617,6662,1001,907,1708,6665,361,1608,3079,7551,1083,778,354,190,25397,48622
1898_HansenE_EdithArensdorf.0,53.0,30.0,25,21,15.0,13.0,1115,86,2910,4052,5201,2476,1691,2795,272,6762,62,590,5633,1199,1201,2569,6187,228,1494,2756,6664,928,552,332,154,20805,43828
1898_HansenR_PaaGraensenAfToVerdener.0,385.0,202.0,212,138,51.0,44.0,609,138,2920,4719,4160,2082,1669,3147,211,7954,123,366,4905,1128,805,3077,5795,360,1611,3098,7529,1025,730,347,181,19854,43421
1898_Henckel_Lolotte.0,219.0,84.0,122,80,61.0,55.0,1106,359,3812,5504,5734,2730,2720,3705,271,8629,96,732,6095,1912,915,2334,7072,460,1839,3800,9337,1285,890,391,187,25112,52721
1898_Janssen_SpanskeNaetter.0,689.0,284.0,476,265,79.0,59.0,1327,346,4514,6484,6465,2975,3135,3945,363,12030,428,495,6748,2944,813,2844,9019,394,2661,5053,12740,1987,1162,673,277,27827,63596
1898_JensenJV_EinarElkaer.0,163.0,104.0,81,72,21.0,16.0,1713,168,3579,6622,6953,3088,3004,3613,250,9741,206,615,8074,2138,1149,1610,9554,417,1827,3916,9266,1392,993,475,230,29769,60613
1898_KnudsenJ_EtGjensyn.0,142.0,47.0,59,27,35.0,25.0,320,75,1383,2601,3457,1646,1149,1338,206,3296,76,291,3721,525,554,1689,3110,332,615,1350,3248,423,308,171,83,12838,25374
1898_KragT_FruBeatesHus.0,99.0,56.0,34,31,16.0,12.0,650,109,2806,3917,4595,2275,2450,2451,128,6146,117,406,5314,978,1003,612,5849,269,1369,2639,6310,883,588,324,156,20233,39316
1898_Kristensen_EnFolkefest.0,122.0,60.0,68,35,21.0,18.0,773,103,2555,3970,4909,2194,1940,2292,367,5924,159,433,5248,959,560,1234,5553,260,1422,2585,6426,774,547,333,181,19146,38557
1898_LarsenE_SkaebnensVeje.0,124.0,55.0,59,33,18.0,15.0,811,98,2595,3973,3436,1425,1656,2916,84,6085,57,510,3574,1098,716,822,4560,183,1973,3244,8545,720,474,261,121,15797,33690
